,Country,Altitude,Location,1oHazard,2oHazard,Dead,Party,Sport,Year,Month,Prob/Died
0,Andorra,2608,Baser Negre,Wind slab,Wet snow,1,2,Off-piste skiing,2018,March,0.5
1,Austria,1491,Hohe Warte,Persistent weak layer,,1,10,Backcountry skiing,2018,March,0.1
2,Austria,1491,Hinterbergkofel,Persistent weak layer,Wind slab,1,16,Backcountry skiing,2018,March,0.0625
3,Austria,1491,Hochkarspitze,Persistent weak layer,,1,3,Backcountry skiing,2018,February,0.3333333333333333
4,Austria,1491,Kals - Matreier Törl,Wind slab,Persistent weak layer,2,2,Off-piste skiing,2018,January,1.0
5,Austria,1491,Velilltal,Wind slab,New snow,1,3,Off-piste skiing,2018,January,0.3333333333333333
6,Austria,1491,Pezid,Wind slab,Persistent weak layer,1,3,Off-piste skiing,2017,December,0.3333333333333333
7,Austria,1491,Vergaldatal - Kengel,Gliding snow,,1,1,Travelling on road,2017,November,1.0
8,Austria,1491,Eisarena Anlauftal,,,1,2,Mountaineering/Climbing,2017,December,0.5
9,Austria,1491,Hohes Brett,,,1,1,Backcountry skiing,2018,March,1.0
10,Austria,1491,Zwölferkogel,Wind slab,,1,2,Mountaineering/Climbing,2019,February,0.5
11,Austria,1491,Laserztörl,Persistent weak layer,Wind slab,1,2,Backcountry skiing,2019,January,0.5
12,Austria,1491,Steißbachtal - Grube,New snow,None,1,4,Off-piste skiing,2019,January,0.25
13,Austria,1491,Hohe Mut,Persistent weak layer,,1,2,Off-piste skiing,2018,December,0.5
14,Austria,1491,Hintertuxer Gletscher,Wind slab,,1,4,Off-piste skiing,2018,December,0.25
15,Austria,1491,Mallnitz - Krumpe Tal,Wind slab,,1,2,Mountaineering/Climbing,2019,January,0.5
16,Austria,1491,"Rax, Ottohaus, Törlweg",Wet snow,,1,2,Hiking on foot or snowshoeing,2019,March,0.5
17,Austria,1491,Allas,Wind slab,New snow,1,2,Other,2019,February,0.5
18,Austria,1491,Großer Schober,Wind slab,,1,1,Backcountry skiing,2019,January,1.0
19,Austria,1491,"Rüfikopf - Variante \""Wasserschloss\"" Richtung Wöstertäli",Wind slab,Gliding snow,4,4,Off-piste skiing,2019,January,1.0
20,Austria,1491,Damüls - freier Schiraum westl. Hinterargenalpe,Wind slab,,1,2,Off-piste skiing,2019,January,0.5
21,Austria,1491,Schoppernau: Diedamskopf - freier Schiraum,New snow,,1,2,Off-piste skiing,2019,January,0.5
22,Austria,1491,"Lahngang, Abtenau",Wind slab,,2,2,Hiking on foot or snowshoeing,2019,January,1.0
23,Austria,1491,Stadelberg/Gschwendhütte/Steinparztal,,,2,2,,2019,January,1.0
24,Austria,1491,Oberlercherspitze,Persistent weak layer,,1,1,Backcountry skiing,2019,May,1.0
25,Austria,1491,Schober Lahngang,New snow,,2,2,Hiking on foot or snowshoeing,2019,January,1.0
26,Austria,1491,Rettenbachferner,Persistent weak layer,Wind slab,2,3,Off-piste skiing,2019,November,0.6666666666666666
27,Austria,1491,Gamskarspitze,Persistent weak layer,,1,4,Mountaineering/Climbing,2019,December,0.25
28,Austria,1491,Murkarspitze,Persistent weak layer,,1,8,Backcountry skiing,2020,February,0.125
29,Austria,1491,Lammereis - Kleinglocknerkees,Wind slab,,1,1,Mountaineering/Climbing,2020,March,1.0
30,Austria,1491,Hallstatt,Wind slab,,5,5,Other,2020,March,1.0
31,Austria,1491,"Göller, Eisgrube",Wind slab,,1,1,Off-piste skiing,2020,March,1.0
32,Austria,1491,"Hoher Ifen, Ifenmulde, Kleinwalsertal",Wind slab,,1,2,Backcountry skiing,2019,December,0.5
33,Austria,1491,Lammereis - Kleinglocknerkees,Wind slab,,1,1,Mountaineering/Climbing,2020,March,1.0
34,Austria,1491,Großvenediger,Persistent weak layer,,1,1,Mountaineering/Climbing,2020,October,1.0
35,Austria,1491,Stuben-Albonagrat \\,Persistent weak layer,Wind slab,1,1,Backcountry skiing,2020,December,1.0
36,Austria,1491,Sandkogel,Wind slab,,1,2,Backcountry skiing,2021,January,0.5
37,Austria,1491,Wanglspitze,Persistent weak layer,Wind slab,1,2,Off-piste skiing,2021,January,0.5
38,Austria,1491,Juifenalm,Persistent weak layer,Wind slab,2,2,Backcountry skiing,2021,January,1.0
39,Austria,1491,Widdersbergsattel,Persistent weak layer,,1,1,Backcountry skiing,2021,January,1.0
40,Austria,1491,Neunerkogel,Persistent weak layer,,1,3,Off-piste skiing,2021,January,0.3333333333333333
41,Austria,1491,Arbeserkogel,Persistent weak layer,,1,2,Backcountry skiing,2021,February,0.5
42,Austria,1491,Mitterkoegerl / Teufenbachtal,Wind slab,Persistent weak layer,1,1,Backcountry skiing,2021,January,1.0
43,Austria,1491,Warscheneck,Persistent weak layer,Wet snow,1,2,,2021,February,0.5
44,Austria,1491,Brennerspitze,Persistent weak layer,,1,5,Backcountry skiing,2021,March,0.2
45,Austria,1491,Großer Zunig,Wind slab,Persistent weak layer,2,2,Backcountry skiing,2021,April,1.0
46,Austria,1491,Kleiner Ötscher,Persistent weak layer,Wind slab,1,6,,2022,January,0.16666666666666666
47,Austria,1491,Venet,Wind slab,None,1,6,Off-piste skiing,2021,December,0.16666666666666666
48,Austria,1491,Breiteggspitze,Persistent weak layer,None,2,2,Backcountry skiing,2022,February,1.0
49,Austria,1491,Fließer Berg,Persistent weak layer,None,5,6,Backcountry skiing,2022,February,0.8333333333333334
50,Austria,1491,Gammerspitze,Persistent weak layer,,1,5,Backcountry skiing,2022,February,0.2
